sketch_id,sketch_name,season,episode,category,category2,total_sentences,num_unique_emotions,emotion_sequence,emotion_string,emotion_counts
1,Both Ways,0,0,office,,19,5,admiration|neutral|joy|optimism|admiration|admiration|optimism|neutral|admiration|admiration|approval|neutral|neutral|neutral|neutral|approval|neutral|neutral|optimism,admiration -> neutral -> joy -> optimism -> admiration -> admiration -> optimism -> neutral -> admiration -> admiration -> approval -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> optimism,"{'neutral': 8, 'admiration': 5, 'optimism': 3, 'approval': 2, 'joy': 1}"
2,Has This Ever Happened To You,0,0,commercial,,22,5,curiosity|curiosity|neutral|neutral|neutral|caring|amusement|neutral|neutral|neutral|neutral|disapproval|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|curiosity|neutral,curiosity -> curiosity -> neutral -> neutral -> neutral -> caring -> amusement -> neutral -> neutral -> neutral -> neutral -> disapproval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral,"{'neutral': 16, 'curiosity': 3, 'caring': 1, 'amusement': 1, 'disapproval': 1}"
3,Baby of the Year,0,0,game show,,80,15,neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|curiosity|neutral|curiosity|curiosity|curiosity|curiosity|gratitude|gratitude|neutral|neutral|neutral|neutral|anger|anger|neutral|anger|curiosity|approval|desire|sadness|approval|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|admiration|neutral|optimism|neutral|approval|disapproval|neutral|caring|admiration|curiosity|neutral|neutral|admiration|neutral|annoyance|approval|neutral|neutral|neutral|confusion|neutral|neutral|disappointment|anger|neutral|surprise|caring|annoyance|anger|sadness|neutral|neutral|anger|neutral|neutral|neutral|neutral|neutral|annoyance|neutral|neutral|neutral|neutral,neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> curiosity -> curiosity -> curiosity -> curiosity -> gratitude -> gratitude -> neutral -> neutral -> neutral -> neutral -> anger -> anger -> neutral -> anger -> curiosity -> approval -> desire -> sadness -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> admiration -> neutral -> optimism -> neutral -> approval -> disapproval -> neutral -> caring -> admiration -> curiosity -> neutral -> neutral -> admiration -> neutral -> annoyance -> approval -> neutral -> neutral -> neutral -> confusion -> neutral -> neutral -> disappointment -> anger -> neutral -> surprise -> caring -> annoyance -> anger -> sadness -> neutral -> neutral -> anger -> neutral -> neutral -> neutral -> neutral -> neutral -> annoyance -> neutral -> neutral -> neutral -> neutral,"{'neutral': 45, 'curiosity': 7, 'anger': 6, 'approval': 4, 'admiration': 3, 'annoyance': 3, 'gratitude': 2, 'caring': 2, 'sadness': 2, 'desire': 1, 'optimism': 1, 'disapproval': 1, 'confusion': 1, 'disappointment': 1, 'surprise': 1}"
4,Instagram,0,0,social media,,67,10,neutral|neutral|admiration|admiration|gratitude|gratitude|curiosity|admiration|neutral|neutral|approval|neutral|approval|neutral|neutral|admiration|annoyance|admiration|admiration|admiration|admiration|approval|admiration|neutral|disgust|neutral|admiration|anger|neutral|annoyance|admiration|neutral|approval|remorse|neutral|admiration|approval|neutral|neutral|neutral|neutral|neutral|neutral|approval|approval|approval|neutral|approval|approval|neutral|neutral|optimism|curiosity|neutral|neutral|neutral|anger|neutral|neutral|neutral|approval|neutral|neutral|neutral|neutral|neutral|curiosity,neutral -> neutral -> admiration -> admiration -> gratitude -> gratitude -> curiosity -> admiration -> neutral -> neutral -> approval -> neutral -> approval -> neutral -> neutral -> admiration -> annoyance -> admiration -> admiration -> admiration -> admiration -> approval -> admiration -> neutral -> disgust -> neutral -> admiration -> anger -> neutral -> annoyance -> admiration -> neutral -> approval -> remorse -> neutral -> admiration -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> approval -> approval -> neutral -> approval -> approval -> neutral -> neutral -> optimism -> curiosity -> neutral -> neutral -> neutral -> anger -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity,"{'neutral': 32, 'admiration': 12, 'approval': 11, 'curiosity': 3, 'gratitude': 2, 'annoyance': 2, 'anger': 2, 'disgust': 1, 'remorse': 1, 'optimism': 1}"
5,Gift Receipt,0,0,party,,160,17,neutral|admiration|curiosity|neutral|surprise|admiration|neutral|neutral|gratitude|admiration|joy|neutral|admiration|gratitude|excitement|gratitude|neutral|neutral|approval|admiration|neutral|neutral|admiration|gratitude|neutral|approval|gratitude|curiosity|love|admiration|neutral|neutral|neutral|neutral|neutral|disapproval|neutral|neutral|neutral|approval|neutral|neutral|love|approval|neutral|neutral|neutral|joy|excitement|gratitude|neutral|neutral|neutral|approval|curiosity|neutral|admiration|admiration|neutral|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|neutral|approval|neutral|admiration|neutral|curiosity|neutral|approval|approval|neutral|neutral|surprise|neutral|neutral|curiosity|gratitude|anger|fear|curiosity|neutral|anger|annoyance|neutral|disapproval|curiosity|annoyance|neutral|neutral|neutral|neutral|neutral|neutral|optimism|neutral|neutral|approval|neutral|neutral|confusion|love|anger|approval|anger|neutral|approval|neutral|neutral|neutral|neutral|neutral|curiosity|approval|neutral|neutral|neutral|neutral|anger|neutral|neutral|approval|curiosity|excitement|curiosity|anger|neutral|anger|neutral|surprise|neutral|neutral|disgust|neutral|excitement|neutral|neutral|annoyance|neutral|neutral|annoyance|disapproval|anger|approval|disapproval|neutral|love|sadness|joy|excitement|neutral|neutral|optimism|neutral|curiosity,neutral -> admiration -> curiosity -> neutral -> surprise -> admiration -> neutral -> neutral -> gratitude -> admiration -> joy -> neutral -> admiration -> gratitude -> excitement -> gratitude -> neutral -> neutral -> approval -> admiration -> neutral -> neutral -> admiration -> gratitude -> neutral -> approval -> gratitude -> curiosity -> love -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> disapproval -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> love -> approval -> neutral -> neutral -> neutral -> joy -> excitement -> gratitude -> neutral -> neutral -> neutral -> approval -> curiosity -> neutral -> admiration -> admiration -> neutral -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> admiration -> neutral -> curiosity -> neutral -> approval -> approval -> neutral -> neutral -> surprise -> neutral -> neutral -> curiosity -> gratitude -> anger -> fear -> curiosity -> neutral -> anger -> annoyance -> neutral -> disapproval -> curiosity -> annoyance -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> optimism -> neutral -> neutral -> approval -> neutral -> neutral -> confusion -> love -> anger -> approval -> anger -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> curiosity -> approval -> neutral -> neutral -> neutral -> neutral -> anger -> neutral -> neutral -> approval -> curiosity -> excitement -> curiosity -> anger -> neutral -> anger -> neutral -> surprise -> neutral -> neutral -> disgust -> neutral -> excitement -> neutral -> neutral -> annoyance -> neutral -> neutral -> annoyance -> disapproval -> anger -> approval -> disapproval -> neutral -> love -> sadness -> joy -> excitement -> neutral -> neutral -> optimism -> neutral -> curiosity,"{'neutral': 80, 'approval': 14, 'curiosity': 12, 'admiration': 10, 'anger': 8, 'gratitude': 7, 'excitement': 5, 'disapproval': 4, 'love': 4, 'annoyance': 4, 'surprise': 3, 'joy': 3, 'optimism': 2, 'fear': 1, 'confusion': 1, 'disgust': 1, 'sadness': 1}"
6,Biker Guy,0,0,sci-fi/fantasy,,26,6,neutral|surprise|admiration|approval|surprise|admiration|excitement|neutral|neutral|approval|anger|neutral|surprise|surprise|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|neutral|excitement,neutral -> surprise -> admiration -> approval -> surprise -> admiration -> excitement -> neutral -> neutral -> approval -> anger -> neutral -> surprise -> surprise -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> excitement,"{'neutral': 15, 'surprise': 4, 'admiration': 2, 'approval': 2, 'excitement': 2, 'anger': 1}"
7,River Mountain High #1,0,0,commercial,,43,7,neutral|neutral|curiosity|neutral|disapproval|curiosity|neutral|neutral|curiosity|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|neutral|approval|neutral|neutral|neutral|neutral|neutral|neutral|remorse|approval|admiration|neutral|admiration|neutral|neutral|approval|approval|neutral|admiration|neutral|neutral|neutral|neutral|neutral|neutral|confusion|disapproval,neutral -> neutral -> curiosity -> neutral -> disapproval -> curiosity -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> neutral -> approval -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> remorse -> approval -> admiration -> neutral -> admiration -> neutral -> neutral -> approval -> approval -> neutral -> admiration -> neutral -> neutral -> neutral -> neutral -> neutral -> neutral -> confusion -> disapproval,"{'neutral': 28, 'curiosity': 4, 'approval': 4, 'admiration': 3, 'disapproval': 2, 'remorse': 1, 'confusion': 1}"
8,Wilson’s Toupees,0,0,commercial,,32,10,admiration|gratitude|neutral|admiration|neutral|neutral|disapproval|neutral|neutral|surprise|neutral|curiosity|annoyance|neutral|neutral|approval|neutral|neutral|confusion|neutral|neutral|neutral|neutral|surprise|neutral|neutral|neutral|neutral|anger|neutral|surprise|neutral,admiration -> gratitude -> neutral -> admiration -> neutral -> neutral -> disapproval -> neutral -> neutral -> surprise -> neutral -> curiosity -> annoyance -> neutral -> neutral -> approval -> neutral -> neutral -> confusion -> neutral -> neutral -> neutral -> neutral -> surprise -> neutral -> neutral -> neutral -> neutral -> anger -> neutral -> surprise -> neutral,"{'neutral': 20, 'surprise': 3, 'admiration': 2, 'gratitude': 1, 'disapproval': 1, 'curiosity': 1, 'annoyance': 1, 'approval': 1, 'confusion': 1, 'anger': 1}"
9,Pink Bag,0,0,office,,64,15,neutral|remorse|annoyance|remorse|surprise|neutral|neutral|remorse|curiosity|curiosity|anger|confusion|neutral|neutral|amusement|neutral|neutral|amusement|curiosity|confusion|neutral|neutral|neutral|curiosity|neutral|neutral|curiosity|neutral|amusement|optimism|joy|disapproval|neutral|neutral|neutral|neutral|approval|annoyance|curiosity|neutral|curiosity|curiosity|remorse|neutral|curiosity|curiosity|neutral|curiosity|neutral|curiosity|neutral|sadness|curiosity|sadness|neutral|curiosity|neutral|curiosity|neutral|neutral|disappointment|neutral|approval|gratitude,neutral -> remorse -> annoyance -> remorse -> surprise -> neutral -> neutral -> remorse -> curiosity -> curiosity -> anger -> confusion -> neutral -> neutral -> amusement -> neutral -> neutral -> amusement -> curiosity -> confusion -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> curiosity -> neutral -> amusement -> optimism -> joy -> disapproval -> neutral -> neutral -> neutral -> neutral -> approval -> annoyance -> curiosity -> neutral -> curiosity -> curiosity -> remorse -> neutral -> curiosity -> curiosity -> neutral -> curiosity -> neutral -> curiosity -> neutral -> sadness -> curiosity -> sadness -> neutral -> curiosity -> neutral -> curiosity -> neutral -> neutral -> disappointment -> neutral -> approval -> gratitude,"{'neutral': 27, 'curiosity': 15, 'remorse': 4, 'amusement': 3, 'annoyance': 2, 'approval': 2, 'confusion': 2, 'sadness': 2, 'surprise': 1, 'anger': 1, 'optimism': 1, 'disapproval': 1, 'joy': 1, 'disappointment': 1, 'gratitude': 1}"
10,River Mountain High #2,0,0,commercial,,26,8,neutral|neutral|curiosity|admiration|neutral|confusion|disapproval|neutral|neutral|neutral|neutral|gratitude|neutral|gratitude|approval|neutral|neutral|neutral|curiosity|neutral|neutral|neutral|excitement|curiosity|curiosity|curiosity,neutral -> neutral -> curiosity -> admiration -> neutral -> confusion -> disapproval -> neutral -> neutral -> neutral -> neutral -> gratitude -> neutral -> gratitude -> approval -> neutral -> neutral -> neutral -> curiosity -> neutral -> neutral -> neutral -> excitement -> curiosity -> curiosity -> curiosity,"{'neutral': 14, 'curiosity': 5, 'gratitude': 2, 'admiration': 1, 'confusion': 1, 'disapproval': 1, 'approval': 1, 'excitement': 1}"
